state,participation_2021
Alabama,0.03
Alaska,0.23
Arizona,0.11
Arkansas,0.02
California,0.24
Colorado,0.56
Connecticut,0.69
Delaware,0.96
District of Columbia,0.9
Florida,0.81
Georgia,0.41
Hawaii,0.26
Idaho,0.9
Illinois,0.8
Indiana,0.43
Iowa,0.02
Kansas,0.02
Kentucky,0.04
Louisiana,0.03
Maine,0.29
Maryland,0.47
Massachusetts,0.34
Michigan,0.68
Minnesota,0.02
Mississippi,0.01
Missouri,0.02
Montana,0.05
Nebraska,0.02
Nevada,0.04
New Hampshire,0.71
New Jersey,0.48
New Mexico,0.3
New York,0.55
North Carolina,0.23
North Dakota,0.01
Ohio,0.15
Oklahoma,0.06
Oregon,0.17
Pennsylvania,0.39
Rhode Island,0.68
South Carolina,0.48
South Dakota,0.01
Tennessee,0.04
Texas,0.59
Utah,0.01
Vermont,0.41
Virginia,0.41
Washington,0.27
West Virginia,0.45
Wisconsin,0.01
Wyoming,0.02
